message_id,ticket_id,author_type,author_id,created_at,visibility,message_type,body,sentiment,contains_action_item
msg_027,tkt_009,engineering,eng_identity,2026-05-06T08:10:00Z,internal,note,Role propagation failed after the permission migration,neutral,true
msg_028,tkt_010,customer,cust_010,2026-05-06T06:52:00Z,public,question,How long do archived export files remain available,neutral,true
msg_029,tkt_010,support,support_005,2026-05-06T07:20:00Z,public,reply,Archived export files remain available according to the retention policy,neutral,false
msg_030,tkt_010,system,system,2026-05-06T09:00:00Z,public,status_change,Ticket closed after policy answer was accepted,positive,false
msg_031,tkt_011,customer,cust_001,2026-05-06T10:26:00Z,public,question,Salesforce sync stopped without warning after the token expired,frustrated,true
msg_032,tkt_011,support,support_004,2026-05-06T10:55:00Z,public,reply,We are restoring the token and checking why the expiry alert did not fire,neutral,true
msg_033,tkt_011,engineering,eng_integrations,2026-05-07T09:40:00Z,internal,note,Token expiry alert job skipped tenants with legacy OAuth apps,neutral,true
msg_034,tkt_012,customer,cust_002,2026-05-07T08:07:00Z,public,question,Webhook callbacks are delayed by about thirty minutes,frustrated,true
msg_035,tkt_012,support,support_001,2026-05-07T08:30:00Z,public,reply,We identified a notification queue delay and are draining the backlog,neutral,true
msg_036,tkt_012,engineering,eng_notifications,2026-05-07T16:20:00Z,internal,note,Notification worker pool was scaled to clear delayed callbacks,neutral,false
msg_037,tkt_013,customer,cust_003,2026-05-07T14:22:00Z,public,question,SCIM groups sync but roles do not update,neutral,true
msg_038,tkt_013,support,support_002,2026-05-07T15:10:00Z,public,reply,We found the group mapping rule and asked for a test user confirmation,neutral,true
msg_039,tkt_013,customer,cust_003,2026-05-08T10:00:00Z,public,reply,The test user received the expected role after the mapping change,positive,false
msg_040,tkt_014,customer,cust_004,2026-05-08T07:12:00Z,public,question,Finance cannot see whether the credit memo was approved,neutral,true
msg_041,tkt_014,support,support_003,2026-05-08T08:00:00Z,public,reply,We checked the billing ledger and the credit memo is approved,neutral,false
msg_042,tkt_014,system,system,2026-05-08T12:55:00Z,public,status_change,Ticket resolved with credit memo reference sent to customer,positive,false
msg_043,tkt_015,customer,cust_005,2026-05-08T13:48:00Z,public,question,API latency in LATAM is above our normal baseline,frustrated,true
msg_044,tkt_015,support,support_001,2026-05-08T14:30:00Z,public,reply,We are comparing regional latency before and after the deploy,neutral,true
msg_045,tkt_015,engineering,eng_api,2026-05-09T08:50:00Z,internal,note,Regional cache warmup was disabled for LATAM workers,neutral,true
msg_046,tkt_016,customer,cust_006,2026-05-09T09:02:00Z,public,question,Our sandbox OAuth callback URL is rejected during authorization,neutral,true
msg_047,tkt_016,support,support_004,2026-05-09T09:50:00Z,public,reply,The sandbox app used the production callback allowlist,neutral,true
msg_048,tkt_016,system,system,2026-05-09T16:40:00Z,public,status_change,Ticket closed after callback configuration was corrected,positive,false
msg_049,tkt_017,customer,cust_007,2026-05-09T11:33:00Z,public,question,Custom fields are missing from the scheduled export,neutral,true
msg_050,tkt_017,support,support_005,2026-05-09T12:15:00Z,public,reply,We added the custom field schema flag and queued a fresh export,neutral,true
msg_051,tkt_017,customer,cust_007,2026-05-10T08:30:00Z,public,reply,The new export includes the expected custom fields,positive,false
msg_052,tkt_018,customer,cust_008,2026-05-10T10:07:00Z,public,question,The admin lost the MFA device and needs a reset,urgent,true
msg_053,tkt_018,support,support_002,2026-05-10T10:25:00Z,public,reply,We verified the requester and started the secure MFA reset flow,neutral,true
msg_054,tkt_018,system,system,2026-05-10T11:10:00Z,public,status_change,Ticket resolved after reset confirmation,positive,false
msg_055,tkt_019,customer,cust_009,2026-05-10T15:52:00Z,public,question,Payment API calls are failing in production and this is a Sev1 outage,urgent,true
msg_056,tkt_019,support,support_001,2026-05-10T16:00:00Z,public,reply,We declared an incident bridge and escalated to the API on call team,urgent,true
msg_057,tkt_019,engineering,eng_api,2026-05-10T16:20:00Z,internal,handoff,Gateway deployment is rolling back because payment route health checks failed,urgent,true
msg_058,tkt_020,customer,cust_010,2026-05-11T06:47:00Z,public,question,The ERP connector retries duplicate order creation,frustrated,true
msg_059,tkt_020,support,support_004,2026-05-11T07:25:00Z,public,reply,We disabled retry on duplicate order responses and are checking idempotency keys,neutral,true
msg_060,tkt_020,engineering,eng_integrations,2026-05-11T11:40:00Z,internal,note,Connector now preserves idempotency keys during retry,neutral,false
msg_061,tkt_021,customer,cust_001,2026-05-11T10:35:00Z,public,question,Can we schedule weekly exports for audit review,neutral,true
msg_062,tkt_021,support,support_005,2026-05-11T11:15:00Z,public,reply,Weekly exports can be scheduled from the data export settings page,neutral,false
msg_063,tkt_022,customer,cust_002,2026-05-12T09:25:00Z,public,question,Where should we submit the tax exemption certificate,neutral,true
msg_064,tkt_022,support,support_003,2026-05-12T10:15:00Z,public,reply,Upload the certificate in billing settings and reply with the document ID,neutral,true
msg_065,tkt_023,customer,cust_003,2026-05-12T13:28:00Z,public,question,Rotated API keys work locally but fail in our deploy pipeline,frustrated,true
msg_066,tkt_023,support,support_001,2026-05-12T13:55:00Z,public,reply,The deploy environment still references the retired key alias,neutral,true
msg_067,tkt_024,customer,cust_004,2026-05-13T08:42:00Z,public,question,Login succeeds in Chrome but Edge shows stale session,neutral,true
msg_068,tkt_024,support,support_002,2026-05-13T09:20:00Z,public,reply,Clear the Edge session cookie and retry after the session policy refresh,neutral,false
msg_069,tkt_025,customer,cust_005,2026-05-13T12:02:00Z,public,question,Slack alerts go to the default channel instead of the mapped channel,neutral,true
msg_070,tkt_025,support,support_004,2026-05-13T12:50:00Z,public,reply,We updated the channel mapping cache and asked for a test alert,neutral,true
msg_071,tkt_026,customer,cust_006,2026-05-14T09:18:00Z,public,question,Does the recent latency breach qualify for SLA credits,neutral,true
msg_072,tkt_026,support,support_003,2026-05-14T09:55:00Z,public,reply,We are reviewing the SLA policy and incident timeline before confirming credit eligibility,neutral,true
msg_073,tkt_027,customer,cust_007,2026-05-14T14:28:00Z,public,question,The export API returns only one page even when more data exists,frustrated,true
msg_074,tkt_027,support,support_005,2026-05-14T15:00:00Z,public,reply,We reproduced the pagination issue and escalated to data platform engineering,neutral,true
msg_075,tkt_028,customer,cust_008,2026-05-15T10:12:00Z,public,question,New admins cannot invite teammates from workspace settings,neutral,true
msg_076,tkt_028,support,support_002,2026-05-15T10:45:00Z,public,reply,We are checking whether the admin role has the invite permission flag,neutral,true
msg_077,tkt_029,customer,cust_009,2026-05-15T16:32:00Z,public,question,The payment integration disconnects several times each day,urgent,true
msg_078,tkt_029,support,support_004,2026-05-15T16:42:00Z,public,reply,We escalated to integration engineering and opened an incident bridge,urgent,true
msg_079,tkt_030,customer,cust_010,2026-05-16T07:52:00Z,public,question,How do we change the billing contact before renewal,neutral,true
msg_080,tkt_030,support,support_003,2026-05-16T08:20:00Z,public,reply,The current billing owner can update the contact from billing settings,neutral,false
